Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Position,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out,Punching,Throwing,Adaptation,Ambition,Argue,Loyal,Resistant to stress,Professional,Sportsmanship,Emotional control,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Values,Current reputation,Domestic reputation,World reputation,Race,RCA,Colour of skin,Date of birth,Number of national team appearances,Goals scored for the national team,Salary,Rental club,UID
Fágner,D/WB R,33,135,145,Brazil,COR,13,13,14,8,15,12,6,13,8,13,13,12,14,14,18,14,13,14,14,13,14,13,13,14,14,13,12,14,14,15,9,5,10,15,14,8,14,16,12,12,13,2,2,3,3,3,3,1,4,4,3,1,5,12,14,9,10,13,8,7,1,2,1,20,4,18,1,1,1,14,1,1,5,1,168,67,8,20,347975206,7254,7254,5177,Mediterranean_Hispanic,134,8,1989/6/11,10,0,22363,,19023829
Pascal Struijk,D C,22,135,156,"Holland,Belgium,Indonesia",Leeds United,3,7,9,5,12,3,16,5,5,13,13,8,14,13,13,14,14,13,13,13,13,13,8,6,9,14,14,14,13,11,13,15,14,14,14,14,13,6,12,6,15,3,4,2,2,3,2,3,1,2,1,1,14,13,5,11,13,14,10,11,1,12,20,4,1,1,14,1,11,1,1,1,1,1,190,75,20,14,36894651,6750,6750,5750,Northern_European,135,6,1999/8/11,0,0,34798,,37059452
Vítor Hugo,D C,31,135,141,Brazil,Trabzonspor A.Ş.,4,9,10,9,11,6,15,10,5,14,11,9,15,10,12,15,14,13,13,11,13,14,10,14,8,14,13,12,12,11,12,16,13,12,14,15,12,12,12,8,7,2,2,3,3,2,3,3,2,1,1,2,13,13,10,12,13,13,12,11,1,1,20,1,1,1,1,1,1,1,1,1,1,1,187,80,20,9,4809065,6700,6600,4850,Mixed_Race,135,12,1991/5/20,0,0,43268,,19144097
Omar Marmoush,AM/S RL,23,135,148,"Egypt,Canada",VfL Wolfsburg,13,11,16,11,12,14,11,12,6,8,12,12,8,15,13,13,12,12,10,12,11,13,16,6,13,8,12,12,16,15,12,11,13,15,12,11,11,9,12,7,16,1,3,1,3,2,1,2,1,1,2,3,16,14,8,11,12,12,12,12,1,1,1,1,10,10,1,11,1,10,18,10,15,20,183,81,8,20,5128346,6748,6248,5748,North_African__Middle_Eastern,124,7,1999/2/7,13,1,28009,,91205962
Álvaro Montero,GK,27,135,145,Colombia,Azul y Blanco Millonarios Fútbol Club S. A.,3,3,1,2,8,5,8,3,2,2,10,4,1,10,11,13,11,12,13,13,13,12,7,13,10,13,12,13,12,14,12,17,14,11,13,13,15,8,14,5,16,14,13,12,6,15,13,14,14,11,12,11,11,12,10,12,12,15,12,9,20,1,1,1,1,1,1,1,1,1,1,1,1,1,196,92,9,20,788793,6370,6370,3675,Mediterranean_Hispanic,134,8,1995/3/29,3,0,10082,,19215609
Igor Coronado,AM RLC,29,135,145,"Brazil,Italy",Al-Ittihad Club Jeddah,11,15,16,13,16,15,7,15,3,4,16,10,4,16,11,13,9,10,10,16,13,11,18,7,12,11,10,10,14,16,12,5,13,13,11,6,14,3,14,5,14,3,1,3,1,2,2,1,3,1,3,2,16,14,3,14,11,15,15,14,1,1,1,1,1,1,1,13,15,13,15,20,15,15,170,62,9,20,11255427,6550,6350,2750,Mediterranean_Hispanic,128,5,1992/8/18,0,0,24259,,29068373
Ez Abde,M/AM/S RL,20,135,156,"Morocco,Spain",Barcelona,10,12,15,12,13,10,8,12,8,5,11,12,6,13,11,12,13,11,9,11,12,14,15,9,13,7,10,10,15,16,12,8,15,14,12,9,13,12,13,2,13,2,2,3,2,2,2,2,3,2,3,1,13,15,12,13,19,12,9,10,1,1,1,1,1,1,1,16,1,15,20,12,19,16,177,73,12,20,22350000,6750,6750,4250,Mediterranean_Hispanic,124,7,2001/12/17,0,0,20067,Atlético Pamplona,2000054872
Patrick Berg,DM,24,135,143,Norway,FK Bodø/Glimt,10,10,10,10,13,10,6,10,7,14,14,10,13,14,15,16,12,15,12,14,14,16,9,15,12,16,17,16,11,13,14,7,18,10,15,12,16,6,14,6,11,2,1,3,1,2,1,1,2,3,3,3,12,14,3,15,15,18,16,16,1,1,1,1,1,1,20,1,14,1,1,1,1,1,177,72,9,20,8951987,6550,6750,5250,Northern_European,136,4,1997/11/24,11,0,8970,,53099570
Ricardo Rodríguez,D/WB LC,29,135,155,"Switzerland,Spain,Chile",Torino,13,14,10,8,13,14,10,12,16,13,13,13,14,13,11,13,14,13,14,12,13,13,10,12,11,14,14,12,13,13,14,12,17,12,13,13,13,6,14,9,13,3,2,1,3,2,3,1,1,1,3,4,18,14,4,12,18,16,17,19,1,20,20,1,16,1,1,14,1,1,1,1,1,1,182,77,20,8,8788654,6845,6795,5295,Mediterranean_Hispanic,132,6,1992/8/25,98,9,53462,,98003635
Rasmus Falk,M/AM C,30,135,145,Denmark,Football Club København,5,11,15,8,16,5,5,6,3,6,15,8,9,15,15,15,13,14,14,14,14,13,15,12,14,12,15,15,14,15,17,6,16,13,14,13,11,3,16,14,13,1,2,3,1,1,2,1,3,2,3,3,14,16,6,16,14,15,18,14,1,1,1,1,1,1,15,1,20,1,12,18,12,1,177,65,9,20,6287164,6750,6500,5000,Northern_European,134,4,1992/1/15,2,0,23525,,27010681
Luan Peres,D LC,28,135,136,Brazil,Fenerbahçe A.Ş.,6,7,5,8,12,6,14,8,6,15,14,6,15,13,14,13,13,11,12,10,13,13,10,12,12,13,14,13,13,13,12,15,13,13,13,16,13,14,10,5,13,3,2,1,2,2,2,3,4,3,1,1,4,9,5,12,8,8,12,15,1,17,20,1,1,1,1,1,1,1,1,1,1,1,190,80,20,8,8545898,6600,6750,5600,Mediterranean_Hispanic,134,6,1994/7/19,0,0,32218,,19215476
Giuliano,M/AM RC,32,135,150,Brazil,COR,10,12,13,14,15,10,5,13,8,6,16,12,9,14,7,13,8,13,13,14,15,15,14,10,14,8,15,14,12,13,14,7,16,12,11,10,12,2,14,10,10,1,2,3,1,3,1,3,1,2,1,1,9,15,10,9,16,14,12,14,1,1,1,1,1,1,1,1,20,1,14,19,17,12,172,70,15,20,347975206,6806,7334,5267,Mediterranean_Hispanic,132,2,1990/5/31,14,0,34011,,19010255
Moussa Sissoko,M RC,32,135,150,"France,Mali",FC Nantes,9,11,14,10,12,10,13,8,5,12,12,13,13,11,11,14,15,11,15,12,12,13,12,12,12,12,17,17,14,12,17,13,19,14,18,15,13,6,13,5,15,1,1,3,1,1,1,1,1,3,2,2,14,15,12,10,13,15,14,14,1,1,1,8,1,12,14,1,20,16,10,12,15,1,187,91,8,20,347975206,6750,7000,6000,African_Caribbean,133,17,1989/8/16,71,2,28708,,8448722
Edin Visca,M/AM RL,32,135,140,Bosnia and Herzegovina,Trabzonspor A.Ş.,12,14,13,14,13,11,5,14,7,7,13,12,7,13,14,12,7,13,13,14,13,14,16,12,16,7,12,14,15,15,11,7,17,13,13,7,17,10,14,5,15,1,1,1,2,2,1,4,1,1,3,2,14,14,2,16,12,15,13,16,1,1,1,1,1,1,1,15,10,18,15,12,20,14,172,63,16,20,347975206,6800,7406,5087,Northern_European,137,4,1990/2/17,55,10,48076,,62027632
Remko Pasveer,GK,38,135,136,Holland,AFC Ajax,1,3,3,1,8,3,3,2,2,1,11,3,2,9,5,14,13,15,15,7,14,17,7,17,8,14,15,15,9,11,16,13,15,8,14,11,16,5,14,7,14,13,15,14,11,13,15,14,15,13,14,14,11,13,7,15,16,17,16,15,20,1,1,1,1,1,1,1,1,1,1,1,1,1,187,91,5,20,313879,6746,6746,4996,Northern_European,137,5,1983/11/8,0,0,11999,,859209
Odion Ighalo,S,33,135,140,"Nigeria,Italy",Al-Hilal Saudi Football Club,5,9,13,15,15,6,11,12,4,4,12,10,4,13,12,14,12,14,11,11,12,15,16,8,14,11,13,12,14,13,17,13,14,14,14,15,11,8,14,3,10,2,2,2,3,3,3,2,1,1,1,1,16,12,13,10,10,14,12,15,1,1,1,1,1,1,1,1,1,1,1,12,1,20,181,73,10,20,3413386,6601,6501,5505,African_Caribbean,135,15,1989/6/16,37,16,86994,,12009301
Pierluigi Gollini,GK,27,135,145,Italy,Atalanta,6,1,3,2,10,7,10,2,2,2,10,3,1,9,11,14,15,13,12,8,11,14,3,13,3,13,15,15,12,14,14,16,15,12,10,15,13,5,12,5,12,14,13,12,16,13,12,14,14,14,14,13,14,15,8,10,13,13,12,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,194,94,8,20,2309130,6750,6750,5800,Mediterranean_Hispanic,135,2,1995/3/18,1,0,28461,ACF Fiorentina,43090278
Juan Mata,AM RC,34,135,174,Spain,Galatasaray A.Ş.,14,14,13,14,19,16,3,10,3,2,17,15,4,18,10,15,9,16,12,18,16,16,15,11,15,3,16,12,10,14,13,6,13,9,10,8,12,5,15,7,12,3,2,1,1,3,2,3,3,3,2,3,18,16,2,12,15,19,15,19,1,1,1,1,1,1,1,12,13,14,14,20,18,10,170,63,20,11,1247383,7250,7485,5738,Mediterranean_Hispanic,132,4,1988/4/28,41,11,60897,,67011232
Tasos Bakasetas,AM RC,29,135,140,Greece,Trabzonspor A.Ş.,13,12,12,13,11,14,11,17,8,7,15,17,8,16,17,13,14,13,13,14,12,13,14,14,13,8,12,13,12,12,14,12,15,12,14,14,13,10,14,9,10,1,2,3,3,1,1,4,3,1,1,3,17,14,4,15,13,14,12,13,1,1,1,1,1,1,1,1,15,1,12,20,16,10,181,75,20,12,5086844,6750,6750,5000,Mediterranean_Hispanic,134,2,1993/6/28,49,8,40064,,36039032
Michael Olunga,S,28,135,146,Kenya,Al-Duhail Sports Club,8,9,9,15,14,10,14,13,9,5,11,11,5,12,13,13,13,14,12,12,12,12,12,10,15,7,13,13,15,11,14,16,13,14,15,15,14,5,11,5,8,1,3,3,2,3,2,2,2,1,1,1,11,13,6,5,11,11,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,20,190,82,20,13,14390070,6750,7250,4905,African_Caribbean,141,18,1994/3/26,48,21,34798,,13164726
Theodor Gebre Selassie,D/WB R,35,135,137,"Czech Republic,Ethiopia",Slovan Liberec,7,11,12,8,12,6,14,10,13,9,10,7,10,11,11,10,14,12,14,8,12,12,9,13,14,10,14,16,16,14,12,11,18,15,17,12,15,9,13,10,13,1,3,2,1,1,1,1,2,4,3,1,14,11,2,16,12,17,18,15,1,10,12,20,10,19,1,1,1,14,1,1,1,1,181,74,9,20,382148,6750,6750,5500,Mixed_Race,127,13,1986/12/24,54,3,11162,,25006446
Dimitri Foulquier,D RL,29,135,138,"Guadeloupe,France",Valencia,9,13,12,9,12,6,9,9,11,13,11,7,12,12,11,12,14,13,13,11,13,14,11,7,13,13,12,13,16,13,14,11,15,15,14,14,13,10,13,7,16,2,1,3,3,3,1,3,4,3,3,2,12,13,5,13,10,14,15,15,1,18,1,20,14,15,1,10,1,12,9,1,10,1,183,77,10,20,8499721,6750,6750,4350,African_Caribbean,132,15,1993/3/23,2,0,9000,,85045661
Sergio Rico,GK,28,135,146,Spain,Paris Saint-Germain,4,2,3,2,10,7,5,1,1,2,11,2,1,7,8,14,13,13,13,6,13,10,10,9,5,13,13,12,10,16,14,14,11,8,10,15,12,11,14,8,13,14,13,12,6,14,12,14,15,7,18,13,10,9,3,13,11,16,18,8,20,1,1,1,1,1,1,1,1,1,1,1,1,1,196,90,8,20,3733046,6750,6750,5250,Mediterranean_Hispanic,134,5,1993/9/1,1,0,49863,,67171745
Armando Broja,AM/S RL,20,135,-85,"Albania,England",Chelsea,7,8,15,14,12,7,12,8,7,5,7,8,8,13,14,13,11,14,8,9,12,12,13,11,14,6,11,13,16,12,15,14,14,16,13,14,10,7,10,6,11,1,2,1,2,2,3,1,3,1,2,1,13,10,6,10,12,12,12,12,1,1,1,1,1,1,1,1,1,1,15,14,16,20,191,75,10,20,75046653,6750,6750,5500,Mediterranean_Hispanic,130,2,2001/9/10,14,4,86994,,28121369
Owen Wijndal,D/WB/M L,22,135,154,"Holland,Suriname",AFC Ajax,11,14,13,6,12,9,8,8,11,12,13,11,15,13,15,13,16,12,11,13,12,15,15,14,14,12,12,12,14,13,13,12,15,14,15,12,13,12,15,6,10,3,1,2,3,1,1,1,2,2,1,1,8,17,5,10,16,14,10,15,1,20,12,1,19,1,8,17,8,1,14,1,1,1,176,65,20,9,18832501,6500,6500,5250,African_Caribbean,130,11,1999/11/28,11,0,27999,,37058888
Iván Marcano,D LC,35,135,144,Spain,FC Porto,8,11,10,9,12,6,16,7,14,15,14,7,14,13,12,14,15,14,14,11,14,15,6,16,12,15,16,14,9,9,13,14,10,10,12,13,18,13,12,16,12,2,1,2,3,1,3,1,1,1,2,1,12,15,5,15,14,18,13,14,1,15,20,1,1,1,10,1,1,1,1,1,1,1,189,77,20,10,735930,6750,6750,5250,Mediterranean_Hispanic,135,5,1987/6/23,0,0,38626,,67009719
Mykola Matvienko,D LC,26,135,136,Ukraine,Shakhtar Donetsk,13,11,11,6,12,12,14,7,13,14,15,7,13,12,12,12,17,12,13,14,13,15,8,9,14,12,15,14,13,13,13,12,15,14,14,13,14,7,15,8,15,2,2,2,1,3,4,3,3,2,2,2,13,15,5,20,13,19,14,13,1,18,20,1,14,1,1,1,1,1,1,1,1,1,181,75,20,10,48445419,7000,7000,5000,Northern_European,134,4,1996/5/2,51,0,17500,,71075952
Jakub Moder,DM/M/AM C,23,135,155,Poland,Brighton & Hove Albion,13,10,11,11,13,13,11,14,7,10,13,12,12,13,9,13,12,13,13,13,13,14,13,11,14,13,14,14,12,11,11,13,13,12,14,13,14,7,13,6,15,3,4,4,2,1,1,3,3,2,2,1,13,14,5,14,10,14,14,12,1,1,1,1,14,1,17,14,20,1,1,17,1,1,188,78,14,20,29143571,6750,6750,4750,Northern_European,132,1,1999/4/7,20,2,26098,,96086697
Cheick Doucouré,DM/M C,22,135,158,Mali,Crystal Palace,8,8,12,11,13,8,12,14,13,13,15,10,13,13,12,13,14,12,12,15,13,15,11,10,12,12,14,14,13,13,12,12,14,13,13,14,13,10,12,8,11,3,2,1,1,2,2,2,1,1,1,3,12,12,8,9,11,14,12,20,1,1,6,1,1,1,20,1,19,1,1,1,1,1,180,73,10,20,31958043,6745,6745,3745,African_Caribbean,134,15,2000/1/8,8,0,52196,,13194021
Morato,D C,21,135,158,Brazil,SL Benfica,6,8,9,8,9,6,14,8,10,15,13,10,14,9,14,14,15,13,11,13,12,12,8,13,11,14,15,13,12,11,14,16,15,13,14,15,14,11,11,12,6,1,1,1,1,3,1,4,3,2,3,3,11,13,11,10,12,16,15,14,1,1,20,1,1,1,14,1,1,1,1,1,1,1,192,84,20,10,19000000,6750,5627,5426,Mediterranean_Hispanic,135,7,2001/6/30,0,0,19149,,19347264
Samu Castillejo,M/AM RLC,27,135,140,Spain,Valencia,13,14,15,11,14,10,7,11,6,7,14,11,9,15,11,12,11,10,12,13,11,11,14,8,13,10,14,12,15,15,10,10,13,15,12,8,12,6,11,13,15,1,2,1,3,2,4,1,1,1,1,2,13,12,5,12,10,14,11,8,1,1,1,1,1,1,1,14,10,16,18,15,20,12,182,67,20,10,9090611,6750,6750,5900,Mediterranean_Hispanic,131,2,1995/1/18,0,0,17006,,67142868
Joselu,S,32,135,139,Spain,Espanyol,5,9,11,15,14,10,15,12,6,7,12,13,10,12,8,14,13,13,13,12,13,8,13,6,13,7,13,13,11,12,12,15,11,12,13,15,11,12,13,6,5,1,3,3,3,1,2,2,2,1,1,1,8,17,14,6,12,10,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,20,192,88,15,20,347975206,6750,6750,5300,Mediterranean_Hispanic,134,7,1990/3/27,0,0,15440,,67055991
Oleksandr Pikhalyonok,DM/M C,25,135,140,Ukraine,SC Dnipro-1,12,11,12,10,13,12,8,14,11,9,15,8,8,15,9,12,13,13,13,14,14,16,12,10,13,12,15,14,14,12,12,9,15,12,15,12,14,1,13,9,12,1,2,1,2,1,2,1,3,2,3,2,9,15,3,8,13,18,15,16,1,1,1,1,1,1,17,1,20,1,1,1,1,1,179,72,20,11,4734994,6000,6015,4010,Northern_European,133,0,1997/5/7,2,0,5619,,71086742
Orbelín Pineda,M/AM LC,26,135,140,Mexico,Vigo,9,13,14,13,13,10,9,13,8,10,14,12,11,16,9,12,12,12,13,14,13,12,14,7,12,12,13,12,15,16,12,4,16,13,15,8,13,7,12,6,12,1,1,1,1,1,3,3,1,2,2,1,13,13,10,13,11,10,11,10,1,1,1,1,1,1,10,14,20,7,16,16,10,1,168,60,10,20,8636080,6750,6800,4500,Mediterranean_Hispanic,133,11,1996/3/24,48,6,15440,AEK Athens,51052239
Mikel Vesga,DM/M C,29,135,140,"Spain,Pays Basque",A. Bilbao,7,7,8,8,14,10,14,14,9,14,13,8,14,13,13,13,13,14,13,12,13,13,7,8,12,15,16,17,12,13,10,15,12,13,14,14,13,11,12,8,13,3,2,3,1,2,2,1,1,1,3,2,20,12,7,10,11,9,11,18,1,1,1,1,1,1,20,10,19,10,1,1,1,1,191,84,20,9,27141965,6750,6750,5250,Mediterranean_Hispanic,135,4,1993/4/8,0,0,16783,,67195855
Orkun Kökçü,M/AM C,21,135,155,"Turkey,Holland",Feyenoord Rotterdam,13,12,13,11,14,15,7,13,12,6,14,14,6,14,10,12,14,14,14,13,13,14,13,15,13,7,13,14,12,14,13,7,13,13,15,11,13,10,12,12,16,1,2,1,2,3,2,3,3,1,3,1,18,16,6,11,12,13,13,11,1,1,1,1,1,1,12,12,20,12,10,20,10,7,175,0,13,20,41339997,6848,6248,5248,North_African__Middle_Eastern,130,5,2000/12/29,16,1,9110,,37061602
Aleksandar Katai,AM RLC,31,135,135,Serbia,FK Crvena zvezda Beograd,12,13,16,15,13,15,12,15,5,4,14,12,7,16,13,11,9,14,10,14,11,12,17,12,11,8,11,10,14,13,11,11,10,13,12,11,14,11,13,7,13,2,2,1,1,1,2,1,1,2,2,2,8,14,15,13,11,9,11,10,1,1,1,1,1,1,1,13,13,13,20,18,19,12,182,74,15,20,347975206,6600,6600,5000,Northern_European,133,4,1991/2/6,10,0,11499,,62042273
Anton Stach,DM/M/AM C,23,135,148,Germany,1. FSV Mainz 05,14,9,12,10,12,13,12,13,3,13,13,7,13,13,16,13,15,13,12,13,12,19,13,11,12,13,16,17,12,11,13,16,17,15,14,14,15,12,14,6,17,1,1,1,1,3,2,2,1,3,3,1,15,17,4,8,16,18,10,10,1,1,10,1,1,1,18,10,20,10,10,16,10,8,193,86,12,20,13109780,6750,6750,5500,Northern_European,134,2,1998/11/15,2,0,16300,,91194540
Max Gradel,M/AM RL,34,135,143,"Ivory Coast,France",Sivasspor,8,13,15,12,13,15,10,14,3,5,13,14,6,14,18,13,12,13,12,14,13,19,15,9,14,8,11,13,15,14,14,8,14,14,14,12,14,12,15,8,11,3,2,1,4,1,3,3,2,4,3,1,16,18,9,13,10,11,8,5,1,1,1,1,1,1,1,18,1,17,20,14,17,14,175,70,8,20,347975206,6750,7400,6237,African_Caribbean,134,17,1987/11/30,95,16,29999,,29001331
Darko Brašanac,M/AM C,30,135,139,Serbia,Atlético Pamplona,10,11,9,12,13,10,13,11,7,11,13,11,13,13,14,15,16,11,16,13,12,12,11,10,14,14,17,16,13,13,12,12,12,12,15,11,14,8,13,7,14,2,1,1,2,1,2,3,2,2,2,3,11,13,8,9,13,9,10,13,1,1,1,1,1,1,14,1,20,1,12,16,1,1,178,73,12,20,1848916,6494,5958,4531,Northern_European,134,4,1992/2/12,3,0,9921,,62039552
Bryan Gil,M/AM RLC,21,135,-85,Spain,Tottenham Hotspur,10,14,16,13,13,10,8,11,6,6,12,10,5,14,10,13,9,11,11,13,12,15,17,7,14,5,10,12,16,15,14,7,12,14,13,8,12,7,12,10,11,1,1,3,1,3,3,2,3,3,1,2,8,14,6,14,16,16,15,10,1,13,1,1,14,1,1,19,1,14,20,18,15,8,175,69,20,9,82446926,6750,6750,6000,Mediterranean_Hispanic,129,2,2001/2/11,4,0,92793,,67260440
András Schäfer,DM/M C,23,135,142,Hungary,1. FC Union Berlin,9,10,12,11,13,8,9,11,4,8,12,9,11,13,11,16,15,11,15,15,17,14,12,11,13,12,15,16,13,13,11,8,13,12,11,10,12,4,10,5,13,1,2,1,1,3,1,1,4,4,3,2,12,12,4,12,13,15,14,15,1,1,1,1,1,1,17,14,20,1,10,1,1,1,179,67,14,20,4497930,6397,6497,4797,Northern_European,131,1,1999/4/13,20,3,26694,,38045397
Pasquale Mazzocchi,D/WB RL,26,135,140,Italy,U.S. Salernitana 1919,11,14,15,7,14,8,7,9,8,11,13,7,12,13,13,14,15,14,12,11,13,17,12,9,14,12,14,16,14,15,11,8,13,14,14,11,15,12,12,7,15,1,1,2,1,1,3,2,1,3,4,4,12,13,6,12,11,11,12,13,1,18,1,19,19,20,1,10,1,10,10,1,10,1,185,73,8,20,6045722,6750,7100,4500,Mediterranean_Hispanic,132,8,1995/7/27,0,0,3845,,43124221
Cédric,D/WB RL,30,135,142,"Portugal,Germany",Arsenal,12,12,12,7,13,12,8,9,12,12,12,11,14,13,14,13,14,13,13,12,13,14,12,10,12,14,16,14,14,14,15,8,14,14,14,9,13,8,11,10,10,3,2,3,1,4,3,1,3,3,2,1,14,12,5,13,12,17,15,15,1,15,1,20,15,19,1,1,1,10,1,1,8,1,172,66,10,20,14874386,6750,6750,5750,Northern_European,132,1,1991/8/31,34,1,75395,,55012984
Dejan Ljubičić,DM/M RC,24,135,140,"Austria,Croatia",1. FC Köln,8,11,13,11,13,10,11,10,7,11,12,11,12,14,13,13,15,12,12,12,12,17,12,13,15,12,15,17,13,12,13,12,15,14,17,12,13,7,11,7,13,1,2,1,1,2,2,2,3,3,2,2,14,12,4,14,13,8,12,16,1,1,15,1,1,1,20,10,18,15,10,15,13,1,187,74,8,20,8201562,6750,6300,5000,Northern_European,127,4,1997/10/8,3,1,12499,,16155354
Ángel,S,35,135,138,Spain,Mallorca,7,9,12,15,13,9,12,11,6,6,12,13,9,13,13,14,13,14,13,11,13,13,13,13,17,6,12,17,15,13,13,7,14,15,14,9,14,8,14,9,8,3,1,1,3,3,1,1,1,2,2,2,10,13,6,9,11,15,13,12,1,1,1,1,1,1,1,1,1,1,6,9,10,20,172,68,13,20,575643,6750,6750,4250,Mediterranean_Hispanic,135,7,1987/4/26,0,0,14585,,67006826
Keno,AM RL,32,135,138,Brazil,ATM,10,12,16,12,13,8,10,9,11,9,13,13,9,15,10,12,10,11,12,12,11,15,15,11,13,9,12,13,15,15,12,10,11,15,14,7,13,11,11,11,11,3,3,3,1,1,2,3,1,3,3,3,12,13,10,15,14,14,12,11,1,1,1,1,1,1,1,1,1,1,20,5,17,13,179,72,10,20,347975206,6824,6824,4109,African_Caribbean,133,15,1989/9/10,0,0,24600,,19219855
Nico López,AM/S RLC,28,135,147,Uruguay,Tigres de la UANL,14,13,14,15,15,13,11,13,6,5,13,14,5,15,7,12,8,14,8,13,12,14,16,6,14,6,11,13,15,13,10,8,13,14,14,7,11,5,12,8,13,2,1,2,2,2,3,2,1,1,2,3,5,15,15,8,11,8,8,7,1,1,1,1,1,1,1,12,12,12,17,15,20,18,175,67,20,11,7915609,6850,6850,4017,Mediterranean_Hispanic,131,8,1993/10/1,0,0,21909,,78043711
Cole Palmer,AM RLC,20,135,-85,England,Manchester City,12,12,14,13,13,12,8,13,3,6,13,13,8,16,8,13,8,13,12,13,12,13,14,7,13,8,11,13,15,14,13,13,13,14,13,8,12,5,13,5,10,2,1,1,3,1,1,1,3,2,3,3,7,13,8,10,9,12,13,9,1,1,1,1,1,1,1,1,15,1,17,20,20,13,182,0,20,9,81310207,6742,6742,5742,Northern_European,127,5,2002/5/6,0,0,28998,,28120042
Sven Botman,D LC,22,135,149,Holland,Newcastle United,7,9,9,6,12,3,15,6,11,15,14,8,16,13,10,14,13,13,14,10,12,13,8,12,9,13,12,14,10,9,14,16,12,12,15,15,13,5,11,7,12,1,2,3,2,4,1,3,3,3,3,3,13,13,8,12,11,15,13,7,1,16,20,1,13,1,13,1,1,1,1,1,1,10,193,0,20,8,49760455,6750,6750,5500,Northern_European,131,2,2000/1/12,0,0,104393,,37063649
İrfan Can Kahveci,DM/M/AM RC,27,135,145,Turkey,Fenerbahçe A.Ş.,16,17,16,12,15,17,12,17,5,3,16,12,8,17,8,12,11,17,10,14,12,12,15,10,12,8,11,9,11,10,14,9,12,13,12,11,5,11,12,14,11,3,2,2,2,3,1,3,1,3,4,3,16,14,7,10,14,10,7,10,1,4,4,1,4,1,16,5,16,5,10,20,18,1,176,71,20,9,11365142,6785,6785,6393,Mediterranean_Hispanic,126,6,1995/7/15,21,1,26588,,70075229
Konstantinos Mavropanos,D RC,24,135,145,Greece,VfB Stuttgart,4,8,12,7,12,6,14,11,9,13,12,6,16,12,16,12,17,12,11,11,12,18,11,12,11,13,13,17,14,11,15,16,13,14,13,16,13,13,13,11,6,3,3,1,2,3,2,3,2,2,1,2,15,17,6,12,16,16,12,13,1,1,20,16,1,13,13,1,1,1,1,1,1,1,194,89,8,20,8139896,6750,6250,5250,Mediterranean_Hispanic,135,2,1997/12/11,13,0,25000,,36116501
Lucas Alario,S,29,135,147,"Argentina,Italy",Eintracht Frankfurt,6,9,11,16,14,9,16,11,5,6,11,14,7,14,12,16,14,14,13,12,14,16,10,9,15,7,13,12,11,13,13,12,13,11,13,13,13,11,16,7,6,1,3,3,1,4,2,3,2,3,3,2,11,15,6,13,14,14,9,12,1,1,1,1,1,1,1,1,1,1,1,1,1,20,184,78,12,20,9728872,6498,6948,5998,Mediterranean_Hispanic,134,6,1992/10/8,9,3,47944,,14046979
Karl Toko Ekambi,AM/S RL,29,135,151,"Cameroon,France",Olympique Lyonnais,9,11,12,14,12,10,15,12,6,5,11,12,7,12,8,12,11,11,13,11,11,13,13,10,15,8,11,13,16,12,13,12,14,16,15,14,11,7,15,7,8,2,2,3,1,3,1,1,3,1,3,3,8,14,7,13,10,12,13,14,1,1,1,1,1,1,1,1,1,1,20,1,16,18,185,74,8,20,8119068,6748,6748,5248,African_Caribbean,129,17,1992/9/14,50,12,46027,,85085653
Daniel Podence,AM RLC,26,135,142,Portugal,Wolverhampton Wanderers,12,13,17,9,16,10,4,8,4,6,13,10,5,16,15,11,13,9,9,14,9,15,18,6,14,6,8,14,16,17,16,3,14,16,14,5,12,13,12,11,6,1,2,3,1,3,1,1,2,3,3,1,12,13,9,8,12,11,8,10,1,1,1,1,1,1,1,14,1,14,20,15,20,10,165,58,8,20,21024479,6750,6700,5500,Mediterranean_Hispanic,130,5,1995/10/21,1,0,57996,,55063406
Darío Benedetto,S,32,135,146,"Argentina,Mexico,Italy",Club Atlético Boca Juniors,8,11,14,15,14,12,14,15,3,5,14,14,4,14,9,13,13,13,14,14,13,14,13,12,15,6,14,12,12,12,14,12,13,13,13,14,12,9,16,10,9,3,2,2,2,1,4,1,1,1,2,3,13,14,14,11,9,12,12,8,1,1,1,1,1,1,1,1,1,1,1,1,1,20,177,75,10,20,347975206,6777,7026,5372,Mediterranean_Hispanic,135,6,1990/5/17,5,0,20662,,14018059
